Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,target
continuous,continuous,discrete,discrete,continuous,discrete,continuous,continuous,discrete,discrete,discrete,discrete,continuous,continuous,discrete,discrete,discrete,discrete,continuous,continuous,discrete,continuous,discrete,continuous,discrete,discrete,discrete,discrete,discrete,discrete,continuous,discrete,discrete
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class
14.0,31.0,9.0,7.0,12.0,7.0,15.0,17.0,8.0,5.0,5.0,5.0,45.0,69.0,6.0,6.0,6.0,6.0,50.0,89.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
10.0,31.0,9.0,7.0,12.0,7.0,15.0,17.0,8.0,5.0,5.0,5.0,45.0,69.0,6.0,6.0,3.0,6.0,46.0,86.0,3.0,13.0,2.0,18.0,1,1,0.0,0.0,6.0,7.0,12.0,0.0,2
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,16.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,16.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,15.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,15.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,2
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
20.0,12.0,9.0,7.0,12.0,7.0,12.0,9.0,8.0,5.0,4.0,4.0,6.0,7.0,6.0,4.0,2.0,2.0,47.0,78.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,10.0,0.0,4
22.0,3.0,9.0,7.0,12.0,7.0,15.0,8.0,8.0,5.0,5.0,4.0,45.0,20.0,6.0,4.0,3.0,1.0,47.0,77.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
5.0,0.0,9.0,7.0,12.0,7.0,9.0,14.0,8.0,5.0,4.0,2.0,32.0,32.0,6.0,4.0,2.0,2.0,47.0,75.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,8.0,0.0,4
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
20.0,12.0,9.0,7.0,12.0,7.0,12.0,9.0,8.0,5.0,4.0,4.0,6.0,7.0,6.0,4.0,2.0,2.0,47.0,78.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,10.0,0.0,4
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
22.0,3.0,9.0,7.0,12.0,7.0,15.0,8.0,8.0,5.0,5.0,4.0,45.0,20.0,6.0,4.0,3.0,1.0,47.0,77.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
22.0,3.0,9.0,7.0,12.0,7.0,15.0,8.0,8.0,5.0,5.0,4.0,45.0,20.0,6.0,4.0,3.0,1.0,47.0,77.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,14.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
23.0,31.0,9.0,7.0,12.0,7.0,15.0,17.0,8.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,44.0,74.0,3.0,13.0,2.0,18.0,1,0,2.0,2.0,8.0,8.0,14.0,2.0,2
23.0,31.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,4.0,45.0,61.0,5.0,5.0,5.0,2.0,47.0,73.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,7.0,14.0,0.0,2
23.0,31.0,9.0,7.0,12.0,7.0,15.0,7.0,8.0,5.0,5.0,4.0,45.0,55.0,5.0,2.0,5.0,3.0,43.0,72.0,3.0,13.0,2.0,18.0,1,0,2.0,2.0,8.0,8.0,14.0,2.0,4
23.0,31.0,9.0,7.0,12.0,7.0,15.0,9.0,8.0,5.0,5.0,1.0,45.0,6.0,5.0,3.0,5.0,1.0,47.0,71.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,7.0,13.0,0.0,1
13.0,31.0,9.0,7.0,12.0,7.0,15.0,17.0,8.0,5.0,5.0,5.0,45.0,69.0,2.0,6.0,4.0,6.0,44.0,74.0,3.0,13.0,2.0,18.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,4
19.0,31.0,6.0,6.0,9.0,6.0,15.0,17.0,8.0,5.0,5.0,5.0,45.0,69.0,6.0,6.0,1.0,6.0,47.0,70.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,7.0,14.0,0.0,1
